mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_batch_size,param_hidden_layer_sizes,param_learning_rate,param_learning_rate_init,param_solver,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.30750282605489093,0.0011634021861047696,0.002584695816040039,6.653629947417762e-05,relu,8,"(16,)",constant,0.0001,adam,"{'activation': 'relu', 'batch_size': 8, 'hidden_layer_sizes': (16,), 'learning_rate': 'constant', 'learning_rate_init': 0.0001, 'solver': 'adam'}",0.23140718071814562,0.21690089736205728,0.24537229091708643,0.23122678966576313,0.011624097626344265,579
0.25716423988342285,8.607494073824605e-05,0.0025283495585123696,5.8293329046898336e-05,relu,8,"(16,)",constant,0.0001,sgd,"{'activation': 'relu', 'batch_size': 8, 'hidden_layer_sizes': (16,), 'learning_rate': 'constant', 'learning_rate_init': 0.0001, 'solver': 'sgd'}",0.23482604372980195,0.20828104500127947,0.24786511144897413,0.23032406672668518,0.016470689660450788,581
0.3053137461344401,0.0005289862073591942,0.0025026798248291016,1.65055008646683e-05,relu,8,"(16,)",constant,0.001,adam,"{'activation': 'relu', 'batch_size': 8, 'hidden_layer_sizes': (16,), 'learning_rate': 'constant', 'learning_rate_init': 0.001, 'solver': 'adam'}",0.6675444199087803,0.6592275213264983,0.6423722861812335,0.6563814091388374,0.010471687066814611,383
0.2571558952331543,0.0004379907418976956,0.0024809042612711587,1.418852091880144e-05,relu,8,"(16,)",constant,0.001,sgd,"{'activation': 'relu', 'batch_size': 8, 'hidden_layer_sizes': (16,), 'learning_rate': 'constant', 'learning_rate_init': 0.001, 'solver': 'sgd'}",0.6342266496182193,0.6128348535374623,0.6059589582772614,0.6176734871443142,0.012036745817784657,411
0.3048256238301595,0.00021349282898676212,0.0024754206339518228,9.930610041083726e-06,relu,8,"(16,)",constant,0.01,adam,"{'activation': 'relu', 'batch_size': 8, 'hidden_layer_sizes': (16,), 'learning_rate': 'constant', 'learning_rate_init': 0.01, 'solver': 'adam'}",0.926081985062176,0.8717321208668819,0.8915588746729098,0.8964576602006559,0.02245700349923335,105
0.25702595710754395,0.0001052872930042933,0.002463817596435547,1.0139565913436076e-05,relu,8,"(16,)",constant,0.01,sgd,"{'activation': 'relu', 'batch_size': 8, 'hidden_layer_sizes': (16,), 'learning_rate': 'constant', 'learning_rate_init': 0.01, 'solver': 'sgd'}",0.9347065614162128,0.8621872586387134,0.9035366181295623,0.9001434793948295,0.029702944429674718,89
0.3058677514394124,0.0002056642142920997,0.002459367116292318,3.976820628864544e-06,relu,8,"(16,)",constant,0.1,adam,"{'activation': 'relu', 'batch_size': 8, 'hidden_layer_sizes': (16,), 'learning_rate': 'constant', 'learning_rate_init': 0.1, 'solver': 'adam'}",0.8339300059986723,0.8640745462990719,0.8810929859543688,0.8596991794173711,0.019501188785771867,179
0.25971055030822754,0.002722172335521762,0.0025069713592529297,4.409261402862565e-05,relu,8,"(16,)",constant,0.1,sgd,"{'activation': 'relu', 'batch_size': 8, 'hidden_layer_sizes': (16,), 'learning_rate': 'constant', 'learning_rate_init': 0.1, 'solver': 'sgd'}",0.7552094922599342,0.741121428676553,0.8209328753676923,0.7724212654347266,0.03478170599226477,297
0.30642016728719074,0.00014162844034505285,0.002449512481689453,1.3063075572779393e-05,relu,8,"(16,)",adaptive,0.0001,adam,"{'activation': 'relu', 'batch_size': 8, 'hidden_layer_sizes': (16,), 'learning_rate': 'adaptive', 'learning_rate_init': 0.0001, 'solver': 'adam'}",0.23140718071814562,0.21690089736205728,0.24537229091708643,0.23122678966576313,0.011624097626344265,579
0.25888824462890625,7.518241739051111e-05,0.0024471282958984375,4.050777733286113e-06,relu,8,"(16,)",adaptive,0.0001,sgd,"{'activation': 'relu', 'batch_size': 8, 'hidden_layer_sizes': (16,), 'learning_rate': 'adaptive', 'learning_rate_init': 0.0001, 'solver': 'sgd'}",0.23482604372980195,0.20828104500127947,0.24786511144897413,0.23032406672668518,0.016470689660450788,581
0.306567907333374,7.459949325103238e-05,0.002461036046346029,4.769695945779056e-06,relu,8,"(16,)",adaptive,0.001,adam,"{'activation': 'relu', 'batch_size': 8, 'hidden_layer_sizes': (16,), 'learning_rate': 'adaptive', 'learning_rate_init': 0.001, 'solver': 'adam'}",0.6675444199087803,0.6592275213264983,0.6423722861812335,0.6563814091388374,0.010471687066814611,383
0.25925485293070477,0.0010266043286699803,0.0024766921997070312,1.0015472354464328e-05,relu,8,"(16,)",adaptive,0.001,sgd,"{'activation': 'relu', 'batch_size': 8, 'hidden_layer_sizes': (16,), 'learning_rate': 'adaptive', 'learning_rate_init': 0.001, 'solver': 'sgd'}",0.6342266496182193,0.6128348535374623,0.6059589582772614,0.6176734871443142,0.012036745817784657,411
0.30744703610738117,0.0016375027298396335,0.0024690628051757812,1.4421203895840651e-05,relu,8,"(16,)",adaptive,0.01,adam,"{'activation': 'relu', 'batch_size': 8, 'hidden_layer_sizes': (16,), 'learning_rate': 'adaptive', 'learning_rate_init': 0.01, 'solver': 'adam'}",0.926081985062176,0.8717321208668819,0.8915588746729098,0.8964576602006559,0.02245700349923335,105
0.25851162274678546,0.00017010686194574294,0.002461512883504232,1.7663725829834038e-06,relu,8,"(16,)",adaptive,0.01,sgd,"{'activation': 'relu', 'batch_size': 8, 'hidden_layer_sizes': (16,), 'learning_rate': 'adaptive', 'learning_rate_init': 0.01, 'solver': 'sgd'}",0.9347065614162128,0.8621872586387134,0.9035366181295623,0.9001434793948295,0.029702944429674718,89
