mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.002080837885538737,1.3340555779942638e-05,0.0,0.0,False,25,auto,2,12,100,"{'bootstrap': False, 'max_depth': 25, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 12, 'n_estimators': 100}",,,,,,541
0.002076228459676107,9.47761751026779e-06,0.0,0.0,False,25,auto,2,12,110,"{'bootstrap': False, 'max_depth': 25, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 12, 'n_estimators': 110}",,,,,,541
0.002071857452392578,5.161454798739598e-06,0.0,0.0,False,25,auto,3,8,90,"{'bootstrap': False, 'max_depth': 25, 'max_features': 'auto', 'min_samples_leaf': 3, 'min_samples_split': 8, 'n_estimators': 90}",,,,,,541
0.0020722548166910806,1.0662995338668866e-05,0.0,0.0,False,25,auto,3,8,100,"{'bootstrap': False, 'max_depth': 25, 'max_features': 'auto', 'min_samples_leaf': 3, 'min_samples_split': 8, 'n_estimators': 100}",,,,,,541
0.0020859241485595703,1.4009331801341674e-05,0.0,0.0,False,25,auto,3,8,110,"{'bootstrap': False, 'max_depth': 25, 'max_features': 'auto', 'min_samples_leaf': 3, 'min_samples_split': 8, 'n_estimators': 110}",,,,,,541
0.0020720958709716797,4.224787985484445e-06,0.0,0.0,False,25,auto,3,9,90,"{'bootstrap': False, 'max_depth': 25, 'max_features': 'auto', 'min_samples_leaf': 3, 'min_samples_split': 9, 'n_estimators': 90}",,,,,,541
0.002075672149658203,2.5456138258055e-06,0.0,0.0,False,25,auto,3,9,100,"{'bootstrap': False, 'max_depth': 25, 'max_features': 'auto', 'min_samples_leaf': 3, 'min_samples_split': 9, 'n_estimators': 100}",,,,,,541
0.002077897389729818,8.583804675926935e-06,0.0,0.0,False,25,auto,3,9,110,"{'bootstrap': False, 'max_depth': 25, 'max_features': 'auto', 'min_samples_leaf': 3, 'min_samples_split': 9, 'n_estimators': 110}",,,,,,541
0.002087752024332682,1.1734027115689436e-06,0.0,0.0,False,25,auto,3,10,90,"{'bootstrap': False, 'max_depth': 25, 'max_features': 'auto', 'min_samples_leaf': 3, 'min_samples_split': 10, 'n_estimators': 90}",,,,,,541
0.0020751158396402993,4.103447800771582e-06,0.0,0.0,False,25,auto,3,10,100,"{'bootstrap': False, 'max_depth': 25, 'max_features': 'auto', 'min_samples_leaf': 3, 'min_samples_split': 10, 'n_estimators': 100}",,,,,,541
